data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,1,tsne,kmeans,0.5734
Gauss,100,10,facile,1,tsne,tree,0.94
Gauss,100,10,facile,1,umap,kmeans,0.7369
Gauss,100,10,facile,1,umap,tree,0.93
Gauss,100,10,facile,1,pca,kmeans,0.6045
Gauss,100,10,facile,1,pca,tree,0.94
Torus,100,10,facile,1,tsne,kmeans,0.1682
Torus,100,10,facile,1,tsne,tree,0.92
Torus,100,10,facile,1,umap,kmeans,0.1516
Torus,100,10,facile,1,umap,tree,0.92
Torus,100,10,facile,1,pca,kmeans,0.1358
Torus,100,10,facile,1,pca,tree,0.9
Gauss,100,10,facile,2,tsne,kmeans,0.6364
Gauss,100,10,facile,2,tsne,tree,0.92
Gauss,100,10,facile,2,umap,kmeans,0.485
Gauss,100,10,facile,2,umap,tree,0.91
Gauss,100,10,facile,2,pca,kmeans,0.4572
Gauss,100,10,facile,2,pca,tree,0.93
Torus,100,10,facile,2,tsne,kmeans,0.0158
Torus,100,10,facile,2,tsne,tree,0.87
Torus,100,10,facile,2,umap,kmeans,0.0938
Torus,100,10,facile,2,umap,tree,0.89
Torus,100,10,facile,2,pca,kmeans,0.0098
Torus,100,10,facile,2,pca,tree,0.88
Gauss,100,10,facile,3,tsne,kmeans,0.6043
Gauss,100,10,facile,3,tsne,tree,0.91
Gauss,100,10,facile,3,umap,kmeans,0.6692
Gauss,100,10,facile,3,umap,tree,0.9
Gauss,100,10,facile,3,pca,kmeans,0.6028
Gauss,100,10,facile,3,pca,tree,0.92
Torus,100,10,facile,3,tsne,kmeans,0.1854
Torus,100,10,facile,3,tsne,tree,0.97
Torus,100,10,facile,3,umap,kmeans,0.5432
Torus,100,10,facile,3,umap,tree,0.99
Torus,100,10,facile,3,pca,kmeans,0.0484
Torus,100,10,facile,3,pca,tree,0.92
Gauss,100,10,facile,4,tsne,kmeans,0.457
Gauss,100,10,facile,4,tsne,tree,0.87
Gauss,100,10,facile,4,umap,kmeans,0.3784
Gauss,100,10,facile,4,umap,tree,0.87
Gauss,100,10,facile,4,pca,kmeans,0.4043
Gauss,100,10,facile,4,pca,tree,0.9
Torus,100,10,facile,4,tsne,kmeans,0.2036
Torus,100,10,facile,4,tsne,tree,0.92
Torus,100,10,facile,4,umap,kmeans,0.1854
Torus,100,10,facile,4,umap,tree,0.87
Torus,100,10,facile,4,pca,kmeans,0.0807
Torus,100,10,facile,4,pca,tree,0.86
Gauss,100,10,facile,5,tsne,kmeans,0.6691
Gauss,100,10,facile,5,tsne,tree,0.92
Gauss,100,10,facile,5,umap,kmeans,0.6364
Gauss,100,10,facile,5,umap,tree,0.89
Gauss,100,10,facile,5,pca,kmeans,0.6044
Gauss,100,10,facile,5,pca,tree,0.92
Torus,100,10,facile,5,tsne,kmeans,0.3535
Torus,100,10,facile,5,tsne,tree,0.91
Torus,100,10,facile,5,umap,kmeans,0.3536
Torus,100,10,facile,5,umap,tree,0.91
Torus,100,10,facile,5,pca,kmeans,0.1067
Torus,100,10,facile,5,pca,tree,0.88
Gauss,100,10,facile,6,tsne,kmeans,0.543
Gauss,100,10,facile,6,tsne,tree,0.87
Gauss,100,10,facile,6,umap,kmeans,0.4569
Gauss,100,10,facile,6,umap,tree,0.87
Gauss,100,10,facile,6,pca,kmeans,0.4041
Gauss,100,10,facile,6,pca,tree,0.89
Torus,100,10,facile,6,tsne,kmeans,0.1854
Torus,100,10,facile,6,tsne,tree,0.92
Torus,100,10,facile,6,umap,kmeans,0.1854
Torus,100,10,facile,6,umap,tree,0.86
Torus,100,10,facile,6,pca,kmeans,0.0807
Torus,100,10,facile,6,pca,tree,0.91
Gauss,100,10,facile,7,tsne,kmeans,0.7026
